name;Vitamin A Retinoläquivalent;Vitamin A Retinol;Vitamin A Beta-Carotin;Vitamin B1 Thiamin;Vitamin B2 Riboflavin;Vitamin B3 Niacin, Nicotinsäure;Vitamin B3 Niacinäquivalent;Vitamin B5 Pantothensäure;Vitamin B6 Pyridoxin;Vitamin B7 Biotin (Vitamin H);Vitamin B9 gesamte Folsäure;Vitamin B12 Cobalamin;Vitamin C Ascorbinsäure;Vitamin D Calciferole;Vitamin E Tocopherole;Vitamin K
Brathähnchen Leber frisch;0;12800;12800;350;23;2490;11600;15417;7160;800;210;380;28000;1,3;400;80
Rote Bete gegart;9;0;2;16;0;31;168;351;95;36;0;48;6244;0;49;5
Agavendicksaft;0;100;100;100;0;200;700;700;0;200;0;30;17000;0;0;22,5
Shiitakepilz frisch;0;0;0;37;0;170;2000;2050;2500;50;15;25;2000;2;100;15
Mortadella Konserve;12;3;5;658;1;183;2455;4655;448;401;2;2;25854;0;363;14
Marmelade;16;0;3;10;0;9;68;85;34;15;0;1;4042;0;165;1
Griechischer Joghurt;0;0;0;100;0,2;100;400;1500;200;100;8,6;21;2000;0;0;3,4
Rind Pökelfleisch gekocht ungeräuchert;0;1;1;72;3;149;2515;5582;413;155;1;2;0;0;233;10
Schwein Nacken (Kamm) (fett) frisch gegart;0;9;9;466;2;197;2807;7707;326;310;4;2;0;0;530;17
Hirsch Fleisch (mager) frisch;0;1;1;250;1;250;0;3783;800;300;0,1;5;0;0;130;0
Geflügelleberwurst;1;10145;10146;361;34,1;2162;6290;10607;5119;671;71,2;433;25095;0,5;327;0
Haselnusspastete mit Mürbeteig;20;23;26;506;1;151;1818;4468;445;338;4;10;66;0;1984;14
Joghurt 10% mit Früchten;17;24;27;33;0,3;142;82;715;280;42;3;8;1462;0;96;4
Geflügelbierwurst;1;2;2;171;0,8;151;3195;7028;703;404;1,7;12;28;0;450;0
Schwarze Graupenwürstchen;205;8;144;120;1;95;1406;3323;371;225;1;7;499;0;145;8
Tofu frisch;25;0;4;60;0;30;500;2517;215;115;5;60;100;0;500;2
Rotwein leicht;1;0;0;1;0,1;20;100;100;200;20;1;1;1800;0;0;0
Kürbiskern geröstet;183;0;31;293;0;29;1205;10138;360;55;5;25;100;0;3604;0
Vollkornbrot mit Ölsamen;5;0;1;176;0;102;1443;2676;660;171;5,2;39;0;0;2520;30
Linsen reif gegart;35;0;6;120;0;80;648;1965;488;167;3;48;207;0;474;93
Bratwurst (nicht umgerötet);1;2;2;462;1;134;1798;4031;302;275;1;2;66;0;273;8
Amaranth roh;0;0;0;80;0;208;1286;4303;1047;223;1;49;4200;0;100;1
Brühwurst feingekuttert (umgerötet);0;4;4;708;1;194;2620;5020;472;446;2;2;26587;0;324;14
Avocado;112;0;19;70;0;100;1010;1010;0;270;0;20;0;3,4;2030;14
Hirschsalami;0;2;2;417;1;252;972;5022;657;362;1;4;24833;0;237;4
Cashewnuss geröstet und gesalzen;6;0;1;416;0;172;1765;7298;1167;245;12,7;67;0;0;1275;0
Geflügelknackwurst;78;1;14;78;0,4;81;4920;8053;418;357;3,6;5;20892;0;397;0
Knacker einfach, Schüblinge einfach;1;2;2;434;1;134;1824;4057;285;260;1;1;20589;0;280;9
Kiwi;370;0;62;17;0;50;410;577;200;18;0,5;20;71000;0;500;10
Erbswurst;24;1;5;381;0;132;1224;3074;599;120;3;57;124;0;349;32
Schnittkäse aus Ziegenmilch (50% Fett i. Tr.);0;342;342;0;0;230;270;5270;0;80;0;41;0;0;629;0
Milzwurst;19;14;17;312;2;220;2901;6068;525;211;1;4;731;0;288;15
Deutsche Salami;0;4;4;745;1;210;2825;6458;487;462;2;2;2;0;382;14
Haferkleieflocken;0;0;0;562;0;28;1000;3883;1090;98;20;87;0;0;800;63
Leinsamen;48;0;8;460;0;150;2560;9110;0;430;16,4;73;0;2,8;16000;4
Brötchen mit Sonnenblumenkernen;5;3;4;143;0;56;916;2333;272;102;3;11;1;0;2159;9
Sonnenblumenöl;26;0;4;0;0;0;0;0;0;0;0;0;0;0;62200;6
Geflügelmortadella gebraten (zubereitet ohne Fett);94;18;34;82;0,8;41;3731;6431;726;109;0,9;8;23073;0;351;1
Zwieback;0;0;0;130;0;70;1300;2833;0;90;0;0;0;0;200;5
Spaghetti gekocht, mit Butterflöckchen (Zubereitung Gastronomie);15;45;48;42;0;20;471;1254;70;7;0;3;8;0,1;632;2
Sonnenblumenkern roh;15;0;3;1900;0;260;5000;11000;0;1270;56;121;0;0;38840;0
Macadamianuss roh;0;0;0;280;0;120;1500;3283;610;280;6;50;0;0;1490;0
Chicoree frisch;3430;0;572;58;0;34;240;473;400;50;4,8;52;8689;0;100;200
Weiße Graupenwurst;178;5;128;240;1;129;1942;4075;430;242;2;7;529;0;198;11
Mortadella süddeutsch, Zungenwurst;75;3;16;610;1;360;2487;5737;778;414;2;4;123;0;337;10
Hüttenkäse Halbfettstufe;30;50;55;30;1;250;100;2833;570;60;6,4;15;1;0,1;70;5
Kasseler gebraten im Backofen ohne Fett;0;0;0;539;0,4;124;8120;13153;0;319;0;2;7407;0;309;0
Whisky;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Margarine pflanzlich Linolsäure 30-50%;650;500;608;7;0;25;20;70;75;3;0;2;100;2,5;16000;51
Bohnen grün tiefgefroren;324;0;59;76;0;119;564;1097;522;262;8;34;14295;0;145;24
Geflügelmortadella gekocht;116;22;41;100;0,7;51;4046;7296;787;134;0,8;8;24814;0;431;1
Studentenfutter mit Erdnüssen;29;0;5;241;0;173;6564;9397;1125;269;19,7;72;655;0;8372;17
Corned Beef;0;10;10;30;1;100;3100;7083;400;140;2;2;0;0,2;150;20
Brötchen-Roggenmischbrötchen;0;0;0;115;0;65;671;1654;292;93;3;12;0;0;755;31
Pfefferminztee (Getränk);0;0;0;10;0;4;0;0;11;0;0;1;0;0;0;0
Erbsen grün Konserve;238;0;40;119;0;79;1177;1827;332;53;2;9;8244;0;170;20
Makrele roh Fischzuschnitt;0;100;100;130;9;360;7500;12000;460;630;4;1;0;4;1250;2
Kürbiscremesuppe (Zubereitung Haushalt);48;23;32;40;0;130;215;782;232;38;2,1;8;3331;0;929;10
Linsen-Eintopf (Zubereitung Gastronomie);429;2;86;109;0,4;81;1256;2439;381;195;1,8;35;6607;0;277;63
Hafer Schrot;0;0;0;520;0;170;2370;4703;710;960;13;33;0;0;841;50
Chilischote rot frisch;4105;0;684;120;0;150;2200;2500;60;280;3;52;225000;0;2900;5
Saure Sahne;60;110;120;40;0,5;190;100;767;420;40;4;12;1000;0,2;300;10
Papaya gegart;137;0;23;24;0;37;283;583;206;27;2;1;49075;0;778;0
Thunfisch Konserve in Öl, abgetropft;3;155;156;106;2;94;4965;8398;386;351;1;10;584;3;8263;1
Joghurt mit Magermilch angereichert teilentrahmt;10;20;22;30;0,6;210;130;1130;460;60;4,5;13;1000;0;50;2
Zwiebelwurst;2;2948;2948;331;8;840;3798;6331;2134;352;5;36;2350;0;478;92
Johannisbeere schwarz Konfitüre;15;0;4;5;0;5;33;116;44;9;0;0;6963;0;351;2
Pökelwaren Pökelfleisch;0;2;2;75;3;156;2627;5660;432;162;1;2;0;0;244;11
Pfälzer Saumagen;3;3;4;669;1;182;2535;5668;592;541;2;15;1551;0;213;31
Roggenfladenbrot;0;0;0;159;0;100;1194;2211;575;189;4;44;0;0;553;31
Spitzpaprika grün;535;0;180;52;0;43;330;530;230;270;3;18;139000;0;2519;14
Fleischwurst Pariser;0;4;4;708;1;194;2620;5020;472;446;2;2;26587;0;324;14
Kalbsleberwurst grob;1;2694;2695;443;8;774;3856;6673;1584;372;4;30;22754;0;374;36
