"name";"Eisen";"Zink";"Kupfer";"Mangan";"Fluorid";"Iodid"
"Pommes frites mit Mayonnaise";957;11;3,5;101;105;472
"Vollkornbrot-Weizen, Roggenvollkornschrottoastbrot";3035;86;4,4;361;2275;2227
"Heidelbeere Konfitüre";456;1;0;45;316;52
"Linsensuppe (Zubereitung Haushalt)";1164;21;2,9;115;201;929
"Gorgonzola";300;150;40;100;200;2600
"Miso";1700;30;3;50;1400;500
"Brühwurst mit Fleischeinlage (nicht umgerötet)";3817;55;2,4;101;69;2721
"Geflügelmortadella fettarm";1230;15;41,9;50;40;2020
"Schweinebauch in Aspik";2203;21;2,6;92;34;2293
"Linsen reif Konserve";1876;15;2;204;351;1003
"Trüffelmosaikpastete";5593;50;2,4;84;89;1673
"Frikadelle (Zubereitung Großküche)";1827;68;1,8;96;90;3042
"Mais";1500;62;2,6;200;480;2500
"Dosenschinken";1128;60;3,6;59;75;1851
"Champignonpastete";1498;56;4;111;100;1758
"Kichererbsen";2950;27;4;340;1210;1420
"Sardine Konserve in Öl, abgetropft";2700;530;96;40;110;1434
"Eierpastete";1537;61;4;97;92;1656
"Pflaumen frisch";440;2;1;95;80;70
"Gurke";500;20;2,5;90;150;160
"Landjäger Würste";1214;46;1,2;83;61;2169
"Rotkohl Konserve gegart";270;14;6,1;51;77;172
"Buschbohnen grün frisch";830;12;3;84;380;336
"Plockwurst";2059;74;1,6;118;93;3883
"Rote Rübe frisch";930;20;0,4;80;155;344
"Putenschnitzel ""italienische Art"" (Zubereitung Gastronomie)";967;45;3,8;100;73;1331
"Leinsamen geschrotet";6827;68;2;1214;2286;4218
"Lebkuchenteigbackwaren";2325;52;3,3;322;2461;1168
"Champignonpastete mit Mürbeteig";847;48;3,6;107;120;1142
"Schweinegrillschnitten                   ";1738;65;2,5;82;235;2040
"Schwein Filet (mager) frisch";1090;59;1;53;77;2000
"Filetblutwurst";10310;46;2,4;91;66;1598
"Hanfnussöl";1000;0;0;0;0;100
"Apfel-Streuselkuchen aus Mürbeteig fettreich";584;33;2,2;98;124;291
"Hühnerei Vollei";2100;110;10;140;30;1350
"Sardine Konserve abgetropft";2015;298;27,3;144;105;1351
"Cervelatwurst";1419;58;1,3;85;97;2461
"Kalbfleischwurst";1084;30;2,4;82;51;1655
"Hirse roh";6900;50;2,5;610;1107;2867
"Eisbergsalat";500;100;2;28;151;220
"Petersilienblatt frisch";5500;110;15;520;2700;900
"Mandelmus";3700;85;1;800;1900;2400
"Paranuss";3400;120;0,1;1300;600;4000
"Zander tiefgefroren";754;120;4;95;90;800
"Brie Vollfettstufe";300;100;20;70;30;3000
"Erdnussbutter, -mus";2000;20;0,5;700;1610;3000
"Fenchel";0;0;0;0;0;220
"Lamm Leber roh";7370;100;5;6979;320;3900
"Quark";400;17;10;17;7;600
"Apfelkuchen aus Rührmasse";768;39;3,2;103;125;442
"Kuhmilch Trinkmilch fettarm";50;15;7,5;10;2;400
"Puderzucker";290;0;0;15;10;20
"Brathähnchen Schenkel roh";1800;40;0,4;250;20;1600
"Pökelwaren Eisbein";1348;51;3,2;56;74;1947
"Granatapfel frisch";500;20;1,5;70;130;280
"Dinkelbrot (Vollkornbrot)";4178;34;1,2;475;1430;2088
"Distelöl (Safloröl)";0;0;0;0;0;0
"Pute frisch";1400;40;1,5;100;35;2000
"Chinakohl frisch gegart";476;15;0;20;267;270
"Bleichsellerie Gemüsesaft";462;69;0;118;99;108
"Zwetschge Konfitüre";331;1;0;46;43;49
"Hering frisch Fischzuschnitt";1100;350;28,2;320;20;990
"Erbsen grün tiefgefroren gegart";1659;25;4,3;382;629;759
"Milchreis (Zubereitung Gastronomie)";198;23;5,9;40;402;408
"Reisbrot";2164;45;2,2;269;1411;1361
"Weizenkeimöl";100;0;0;1;1;3800
"Pinienkern";9200;50;2;1030;4300;4250
"Dattel frisch";1900;20;1;300;150;340
"Hirse Korn geschält roh";6900;50;2,5;610;1107;2867
"Edelkastanien (Maronen) geröstet";1221;9;0,1;211;688;462
"Tee grün (Getränk)";20;115;0,3;30;690;381
"Schlackwurst";1252;49;1,1;79;72;2304
"Brathähnchen Brustfilet gebraten (zubereitet ohne Fett)";1250;48;0,5;159;24;1244
"Graubrot-Roggenmischbrot mit Sonnenblumenkernen";1744;85;3,8;285;1368;1395
"Wassermelone roh";225;11;1;28;32;83
"Knäckebrot-Roggenmischbrot mit Leinsamen";2884;134;6;320;2090;1953
"Rind Niere frisch";9500;200;4,2;434;100;2082
"Porree frisch gegart";839;10;1,1;58;191;261
"Kartoffeln ungeschält roh";890;10;3,4;99;106;423
"Haselnuss geröstet";3131;0;0,9;1456;3148;1896
"Dattel";1900;20;1;300;150;340
"Kümmelwurst Rohwurst";1054;43;1,1;71;58;1925
"Thüringer Rotwurst";7291;77;2,3;141;98;2302
"Mandeldrink ungesüßt";100;0;4,3;0;0;100
"Reis Kleie";19400;5;2,2;100;500;500
"Kartoffelsuppe (Zubereitung Haushalt)";402;16;3,7;58;74;221
"Buchweizenvollkornbrot";2416;81;3,3;428;1886;1908
"Burgunder Schinken in Aspik";1194;63;1,3;67;118;2105
"Sesam geröstet";9104;55;9,1;1327;1332;7075
"Zungenpreßkopf";2312;37;2,7;151;93;2162
"Preßköpfe";1177;63;1,5;76;110;2055
"Kasseler Kamm roh geräuchert";2500;20;1,2;24;28;516
"Glühwein";573;11;7,1;37;149;114
"Walnussöl";0;0;0;0;0;0
"Kokosnuss Mehl";3000;0;6;800;2100;1500
"Fladenbrote";1258;41;2,2;171;485;877
"Graubrot mit Käse";1500;86;4,2;191;1295;1295
"Schinkenpreßkopf";1085;58;1,4;61;112;1900
"Graubrot-Roggentoastbrot";2469;104;4,4;461;1419;1915
"Hirse Flocken";6900;50;2,5;610;1107;2867
"Frühstücksfleisch";1031;52;2,3;67;88;1697
"Moosbeere frisch";900;50;2;140;100;200
"Saure Sahne 20 % Fett";100;11;11;23;4;400
"Olivenpastete";1532;51;2,7;108;89;1448
"Hühnerei Vollei frisch";2100;110;10;140;30;1350
"Cabanossi (Brühwurst)";1201;44;1,1;77;55;2096
"Gemüsepaprika rot";550;20;1;80;100;260
"Gewürfelte Zungenwurst Konserve";2601;46;2,6;163;72;2619
"Lasagne al forno (Zubereitung Gastronomie)";1266;44;4,6;85;113;1238
"Straßburger Gänseleberwurst";23249;132;3,7;4160;273;3706
"Joghurt teilentrahmt";50;16;7,5;12;3;370
"Garnele frisch";1700;100;130;264;50;2300
"Brühwurst";787;42;2,4;63;72;1289
"Spitzpaprika rot";550;20;1;80;100;260
"Zungenwurst hell";1554;44;2,4;112;81;1774
"Kaffee mit Kondensmilch und Zucker (Getränk)";199;1;1,4;99;76;33
"Rinderbierschinken";1921;63;1,2;93;63;3698
"Geflügelfleischkäse gekocht";1281;64;2,7;167;89;2317
"Hafer Vollkornflocken";4437;80;0,8;410;4934;3642
"Zuckermelone - Honigmelone";200;9;2;46;43;190
"Füllung für Spanferkel";6947;127;3,7;577;239;3123
"Getrüffelte Zungenpastete";1623;44;3,6;129;114;1599
"Gurke frisch";500;20;2,5;90;150;160
"Casein";0;5;3;20;2;160
"Schwein Speck und Schinken";1122;55;1,1;51;72;1956
"Makrele geräuchert";1030;130;13;0;0;832
"Zungenblutwurst";11317;28;2,4;179;70;1974
"Lupinenmehl";4600;0;14,7;1100;2500;5000
"Eiscreme";169;38;13;94;13;521
"Wurst";1481;57;1,3;87;82;2741
"Pastinake roh";710;10;3,6;140;400;850
"Olivenöl";100;0;5;70;0;60
"Schinken-Käsesülze";932;61;7,8;74;72;1817
"Kartoffelstärke Mehl";1800;2;1;130;100;150
