"name";"Mannit";"Sorbit";"Xylit";"Summe Zuckeralkohole";"Glucose (Traubenzucker)";"Fructose (Fruchtzucker)";"Galactose (Schleimzucker)";"Monosaccharide (1 M)";"Saccharose (Rübenzucker)";"Maltose (Malzzucker)";"Lactose (Milchzucker)";"Disaccharide (2 M)";"Oligosaccharide, resorbierbar (3-9 M)";"Oligosaccharide, nicht resorbierbar";"Glykogen (tierische Stärke)";"Stärke";"Polysaccharide (> 9 M)"
"Mungobohnen reif";1238;1031;0;619;0;0;0;0;1650;4320;3713;34649;1238;0;34649;0;0
"Laugengebäck";264;66;0;66;0;0;0;0;132;0;264;67855;264;0;67855;0;0
"Rind Mark";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Erdbeerkonfitüre";63396;840;0;794;0;0;0;0;1640;25;0;0;63396;12;0;22;10
"Brathähnchen Brustfilet gekocht";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Tiroler";37;64;0;82;51;0;0;0;146;0;0;93;37;0;42;0;0
"Tomatensoße aus frischen Tomaten (Zubereitung Haushalt)";206;351;0;310;0;82;0;0;661;3;26;3542;124;0;3542;0;0
"Rind Milz frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Auberginenscheiben gebraten (Zubereitung Haushalt)";200;1092;0;1100;0;0;0;0;2192;2;13;3365;200;0;3365;0;0
"Getreideerzeugnisse Frühstückscerealien";3434;3727;15;2915;0;0;158;0;6657;326;461;49360;3276;95;49360;95;0
"Krakauer";21;78;0;93;78;0;0;0;171;0;0;99;21;0;21;0;0
"Grünkohl tiefgefroren";661;1032;0;847;0;0;0;0;1879;0;0;106;661;0;106;0;0
"Aubergine frisch";125;1121;0;1119;0;0;0;0;2240;0;0;125;125;0;125;0;0
"Porree frisch";578;1155;0;899;0;0;48;96;2054;720;482;0;530;0;0;96;0
"Kidney-Bohnen Konserve gegart abgetropft";261;0;0;0;0;0;0;0;0;905;697;7756;261;0;7756;0;0
"Grapefruit frisch";3544;2533;0;2873;0;0;0;0;5406;0;0;0;3544;0;0;0;0
"Banane";11016;3636;0;3786;0;0;0;0;7422;0;0;2952;11016;0;2952;0;0
"Stachelbeere frisch";859;4011;0;3630;0;0;0;0;7641;0;0;0;859;0;0;0;0
"Bohne weiß frisch gegart";508;0;0;0;0;0;0;0;0;2093;1355;15069;508;0;15069;0;0
"Hanfsamen";1792,5;118,6;0;88,9;0;0;0;0;207,5;0;0;0;1800;0;0;0;0
"Rum";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Käsekuchen aus Mürbeteig";12521;880;0;1004;0;1882;0;0;1884;14;54;13454;10639;0;13454;0;0
