name;Kategorie;Energie (kcal);Fett;Kohlenhydrate;Netto-Kohlenhydrate;Eiweiß, Proteingehalt;Ballaststoffe;Wasser;Alkohol (Ethanol);Mineralstoffe (Rohasche);organische Säuren;PRAL-Wert
Eisbergsalat;Gemüse und Gemüseerzeugnisse;13;0,2;1,6;1,6;1;1,8;94,6;0;0,5;0,3;2,6
Petersilienblatt frisch;Gemüse und Gemüseerzeugnisse;53;0,4;7,4;7,4;4,4;4,3;81,1;0;2,1;0,4;18,3
Mandelmus;Vegetarische Produkte;664;59,1;19,7;19,7;15,1;1,5;1;0;3,6;0;3,2
Paranuss;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;660;66,8;3,6;3,6;13,6;8,1;4,3;0;3,6;0;12,2
Zander tiefgefroren;Fische, Krusten-, Schalen-, Weichtiere;84;0,7;0;NA;19,2;0;78,9;0;1,2;0;7,4
Brie Vollfettstufe;Milch, Milcherzeugnisse, Käse;284;22,4;0;NA;21;0;52;0;4,2;0,4;15,8
Erdnussbutter, -mus;Fette, Öle, Butter, Schmalz;597;50;12,2;12,2;26,1;7,6;0,7;0;3,4;0;4,8
Fenchel;Gemüse und Gemüseerzeugnisse;19;0,2;3;2,9;1,4;2;92,4;0;1;0;6,5
Lamm Leber roh;Fleisch (Wild, Geflügel, Federwild, Innereien);134;5;1,8;1,8;20,4;0;71,4;0;1,4;0;16,3
Quark;Milch, Milcherzeugnisse, Käse;75;0,2;4;NA;13,5;0;80,7;0;0,9;0,8;8,9
Apfelkuchen aus Rührmasse;Kuchen, Feinbackwaren, Dauerbackwaren;214;9,5;28,4;NA;3,4;1,6;56,2;0;0,5;0,3;1,9
Kuhmilch Trinkmilch fettarm;Milch, Milcherzeugnisse, Käse;48;1,6;4,9;4,9;3,4;0;89,2;0;0,7;0,2;0,2
Puderzucker;Süßwaren, Zucker, Bonbons, Schokolade, Brotaufstrich süß, Eis;405;0;99,8;99,8;0;0;0,1;0;0;0;0,1
Brathähnchen Schenkel roh;Fleisch (Wild, Geflügel, Federwild, Innereien);173;11,2;0;NA;18,2;0;69,5;0;1,1;0;9,6
Pökelwaren Eisbein;Wurst, Fleischwaren;154;9,1;0,9;0,9;17,2;0;65,9;0;6,8;0;6,3
Granatapfel frisch;Früchte, Obst und Obsterzeugnisse;78;0,6;16,7;16,7;0,7;2,2;78,5;0;0,7;0,6;5,3
Dinkelbrot (Vollkornbrot);Brot- und Kleingebäck;234;3,5;39,5;39,5;10,4;4,4;40,1;0;2,1;0;4,9
Distelöl (Safloröl);Fette, Öle, Butter, Schmalz;879;99,5;0;NA;0;0;0,5;0;0;0;0
Pute frisch;Fleisch (Wild, Geflügel, Federwild, Innereien);216;15;0;NA;20,6;0;63,2;0;1,2;0;11,1
Chinakohl frisch gegart;Gemüse und Gemüseerzeugnisse;12;0,3;0,9;0,9;1,1;1,9;94,8;0;0,6;0,4;0,7
Bleichsellerie Gemüsesaft;Gemüse und Gemüseerzeugnisse;14;0,2;1,8;1,6;1;0,3;94,6;0;1,6;0,5;5,7
Zwetschge Konfitüre;Früchte, Obst und Obsterzeugnisse;272;0;66,3;66,3;0,2;0,8;31,9;0;0,2;0,5;1,6
Hering frisch Fischzuschnitt;Fische, Krusten-, Schalen-, Weichtiere;206;15;0;NA;18,2;0;65,3;0;1,5;0;9,1
Erbsen grün tiefgefroren gegart;Gemüse und Gemüseerzeugnisse;84;0,5;12,4;12,4;6,9;5,5;73,5;0;0,9;0,3;0,9
