"";"Butansäure/Buttersäure";"Hexansäure/Capronsäure";"Octansäure/Caprylsäure";"Decansäure/Caprinsäure";"Dodecansäure/Laurinsäure";"Tetradecansäure/Myristinsäure";"Pentadecansäure";"Hexadecansäure/Palmitinsäure";"Heptadecansäure";"Octadecansäure/Stearinsäure";"Eicosansäure/Arachinsäure";"Decosansäure/Behensäure";"Tetracosansäure/Lignocerinsäure";"Gesättigte Fettsäuren";"Tetradecensäure";"Pentadecensäure";"Hexadecensäure/Palmitoleinsäure";"Heptadecensäure";"Octadecensäure/Ölsäure";"Eicosensäure";"Decosensäure/Erucasäure";"Tetracosensäure/Nervonsäure";"Einfach ungesättigte Fettsäuren";"Hexadecadiensäure";"Hexadecatetraensäure";"Octadecadiensäure/Linolsäure omega-6";"ALA - Linolensäure/Octadecatriensäure omega-3";"Octadecatetraensäure/Stearidonsäure omega-3";"Nonadecatriensäure";"Eicosadiensäure omega-6";"Eicosatriensäure omega-3";"Eicosatetraensäure/Arachidonsäure omega-6";"EPA - Eicosapentaensäure omega-3";"Docosadiensäure omega-6";"Docosatriensäure omega-6";"Docosatetraensäure omega-6";"Docosapentaensäure omega-3";"DHA - Docosahexaensäure omega-3";"Mehrfach ungesättigte Fettsäuren";"Kurzkettige Fettsäuren";"Mittelkettige Fettsäuren";"Langkettige Fettsäuren";"Glycerin und Lipoide";"Cholesterin"
"Dinkelbrötchen";0;0;0;0;18;0;0;0;0;0;0;2;0;10;0;0;10;724;0;427;371;1;1;0;291;0;4;0;0;3049;1898;0;0;0;96;0;709;0;1;0;5;0;3;0
"Cocktailtomaten";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0;0;32;0;2;0;0;162;100;0;0;0;5;0;23;0;0;0;0;0;0;0
"Käsespätzle (Zubereitung Haushalt)";0;99;89;75;3;17;0;0;0;0;0;95;0;29;0;0;26;2085;0;2627;653;25;28;0;1366;0;162;63;162;5323;884;111;0;0;491;0;1794;36;33;19;1;0;311;39
"Knäckebrot-Roggenbrot";0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;6;162;0;207;403;0;0;0;191;0;5;0;0;1055;686;0;0;0;10;0;151;0;0;0;0;0;2;0
"Gurkensalat mit Joghurt (Zubereitung Haushalt)";0;29;3;22;24;3;0;0;0;0;0;27;0;18;0;0;8;1049;0;981;231;7;8;0;468;0;24;19;48;4214;2265;33;0;0;248;0;989;11;10;6;7;0;91;11
"Müsli-Riegel";0;0;0;3;0;0;0;0;0;0;0;35;0;61;0;0;21;13601;0;1821;911;0;0;0;1234;0;67;0;0;17967;2551;6;0;0;442;0;13513;3;0;0;0;0;43;0
"Schwein Rückenspeck";0;0;57;0;0;0;0;0;0;0;0;146;0;0;0;0;583;36359;0;27689;3835;0;0;0;16759;0;2332;0;0;72865;8817;0;0;0;9837;0;33444;0;0;0;0;0;947;0
"Reisdrink";0;0;0;0;6,1;1,1;0;0;0;0;0;0;0;3,2;0;0;2,3;300;0;100;0;0;0;0;49,3;0;1,1;0;0;1100;700;0;0;0;38,9;0;255,4;0;0;0;1,7;0;0,8;0
"Rostbratwurst";0;0;66;0;0;0;0;0;0;0;0;56;0;13;0;0;247;13839;0;10572;1761;31;13;0;6448;0;912;0;0;27726;3315;0;0;0;3631;0;12667;0;13;0;0;0;380;0
"Traubenzucker";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Mungobohnen reif";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;190;0;255;84;0;0;0;199;0;0;0;0;1116;671;0;0;0;56;0;190;0;0;0;0;0;0;0
